Jurisdiction,Office,Race Name,Number of Seats,Candidate Name,Votes Received,Percent Received,Total Votes,Elected,Election Date
Village of Rio,Village Trustee,Village Trustee Village of Rio,3,Stan Stofflet,204,34.63,589,1,04/13/20
Village of Rio,Village Trustee,Village Trustee Village of Rio,3,Nancy M. Wescott,199,33.79,589,1,04/13/20
Village of Rio,Village Trustee,Village Trustee Village of Rio,3,Delbert G. Curtis,176,29.88,589,1,04/13/20
Village of Wyocena,Village Trustee,Village Trustee Village of Wyocena,3,Kim Bauer,110,31.52,349,1,04/13/20
Village of Wyocena,Village Trustee,Village Trustee Village of Wyocena,3,Patricia Jacobson,93,26.65,349,1,04/13/20
Village of Wyocena,Village Trustee,Village Trustee Village of Wyocena,3,Kathy Morrison,82,23.5,349,1,04/13/20
Village of Wyocena,Village Trustee,Village Trustee Village of Wyocena,3,Doug Rose,64,18.34,349,0,04/13/20
Town of Fountain Prairie,Town Board Supervisor 1,Town Board Supervisor 1 Town of Fountain Prairie,1,Steven Jacob,223,99.11,223,1,04/13/20
Town of Pacific,Town Board Supervisor 1,Town Board Supervisor 1 Town of Pacific,1,Doc Paulk,422,50.48,833,1,04/13/20
Town of Pacific,Town Board Supervisor 1,Town Board Supervisor 1 Town of Pacific,1,Irma J. Brockley,411,49.16,833,0,04/13/20
Town of Dekorra,Town Board Supervisor 3,Town Board Supervisor 3 Town of Dekorra,1,Sandy Smith,420,58.74,714,1,04/13/20
Town of Dekorra,Town Board Supervisor 3,Town Board Supervisor 3 Town of Dekorra,1,Valicia Gilbert,294,41.12,714,0,04/13/20
